predictor,normalization,k,scope,checkpoint,n,spearman_r,spearman_p,pearson_r,pearson_p,layer
recovery_signed_diff,overall_score,0,pooled,,72,-0.2191,0.0645,-0.2506,0.0338,layer_31
recovery_signed_diff,transfer_score,0,pooled,,72,-0.2243,0.0582,-0.2333,0.0486,layer_31
recovery_signed_diff,transfer_score_str,0,pooled,,72,-0.3286,0.0048,-0.3381,0.0037,layer_31
recovery_signed_diff,overall_score_str,0,pooled,,72,-0.2227,0.06,-0.2564,0.0297,layer_31
recovery_signed_diff,transfer_margin_str,0,pooled,,72,-0.1605,0.1782,-0.157,0.1878,layer_31
recovery_signed_diff,overall_margin_str,0,pooled,,72,-0.3478,0.0028,-0.328,0.0049,layer_31
recovery_signed_diff,accuracy_gpt-5-mini,0,pooled,,72,-0.1326,0.2669,-0.1339,0.2621,layer_31
recovery_signed_diff,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,-0.1351,0.2579,-0.1448,0.225,layer_31
recovery_signed_diff,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,-0.1085,0.3642,-0.1122,0.348,layer_31
recovery_min,accuracy_majority,0,pooled,,72,-0.1824,0.1251,-0.163,0.1714,layer_31
recovery_min,overall_score,0,pooled,,72,-0.192,0.1061,-0.2375,0.0446,layer_31
recovery_min,transfer_score,0,pooled,,72,-0.2509,0.0335,-0.2579,0.0288,layer_31
recovery_min,transfer_score_str,0,pooled,,72,-0.2307,0.0512,-0.282,0.0164,layer_31
recovery_min,overall_score_str,0,pooled,,72,-0.1618,0.1744,-0.1859,0.1179,layer_31
recovery_min,transfer_margin_str,0,pooled,,72,-0.176,0.1392,-0.1522,0.2018,layer_31
recovery_min,overall_margin_str,0,pooled,,72,-0.3081,0.0085,-0.3055,0.0091,layer_31
recovery_min,accuracy_gpt-5-mini,0,pooled,,72,-0.1016,0.3957,-0.1051,0.3796,layer_31
recovery_min,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,-0.1163,0.3305,-0.1325,0.267,layer_31
recovery_min,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,-0.1095,0.3599,-0.1078,0.3674,layer_31
recovery_max,accuracy_majority,0,pooled,,72,-0.3077,0.0086,-0.3026,0.0098,layer_31
recovery_max,overall_score,0,pooled,,72,-0.2381,0.044,-0.3701,0.0014,layer_31
recovery_max,transfer_score,0,pooled,,72,-0.3064,0.0089,-0.4179,0.0003,layer_31
recovery_max,transfer_score_str,0,pooled,,72,-0.1807,0.1288,-0.3267,0.0051,layer_31
recovery_max,overall_score_str,0,pooled,,72,-0.1348,0.259,-0.2375,0.0445,layer_31
recovery_max,transfer_margin_str,0,pooled,,72,0.0254,0.8321,-0.075,0.5311,layer_31
recovery_max,overall_margin_str,0,pooled,,72,-0.1898,0.1103,-0.2775,0.0183,layer_31
recovery_max,accuracy_gpt-5-mini,0,pooled,,72,-0.2709,0.0213,-0.2935,0.0123,layer_31
recovery_max,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,-0.3138,0.0073,-0.299,0.0107,layer_31
recovery_max,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,-0.2589,0.0281,-0.2304,0.0515,layer_31
recovery_norm_asym,accuracy_majority,0,pooled,,72,-0.1288,0.281,-0.0291,0.8081,layer_31
recovery_norm_asym,overall_score,0,pooled,,72,-0.2191,0.0645,-0.2208,0.0624,layer_31
recovery_norm_asym,transfer_score,0,pooled,,72,-0.2243,0.0582,-0.1979,0.0957,layer_31
recovery_norm_asym,transfer_score_str,0,pooled,,72,-0.3286,0.0048,-0.3277,0.005,layer_31
recovery_norm_asym,overall_score_str,0,pooled,,72,-0.2227,0.06,-0.2401,0.0422,layer_31
recovery_norm_asym,transfer_margin_str,0,pooled,,72,-0.1605,0.1782,-0.2001,0.0919,layer_31
recovery_norm_asym,overall_margin_str,0,pooled,,72,-0.3478,0.0028,-0.3724,0.0013,layer_31
recovery_norm_asym,accuracy_gpt-5-mini,0,pooled,,72,-0.1326,0.2669,-0.0297,0.8046,layer_31
recovery_norm_asym,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,-0.1351,0.2579,-0.0492,0.6814,layer_31
recovery_norm_asym,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,-0.1085,0.3642,-0.0054,0.9642,layer_31
recovery_abs_ratio,accuracy_majority,0,pooled,,72,-0.1312,0.2718,-0.0874,0.4655,layer_31
recovery_abs_ratio,overall_score,0,pooled,,72,-0.1369,0.2514,-0.0531,0.6578,layer_31
recovery_abs_ratio,transfer_score,0,pooled,,72,-0.1652,0.1655,-0.0762,0.5245,layer_31
recovery_abs_ratio,transfer_score_str,0,pooled,,72,-0.0685,0.5673,0.0069,0.9543,layer_31
recovery_abs_ratio,overall_score_str,0,pooled,,72,-0.0379,0.7521,-0.0073,0.9514,layer_31
recovery_abs_ratio,transfer_margin_str,0,pooled,,72,0.0848,0.4789,0.0884,0.4604,layer_31
recovery_abs_ratio,overall_margin_str,0,pooled,,72,0.0062,0.9589,0.0784,0.5129,layer_31
recovery_abs_ratio,accuracy_gpt-5-mini,0,pooled,,72,-0.1711,0.1507,-0.1533,0.1985,layer_31
recovery_abs_ratio,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,-0.1735,0.145,-0.1183,0.3223,layer_31
recovery_abs_ratio,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,-0.151,0.2053,-0.091,0.4469,layer_31
recovery_signed_ratio,accuracy_majority,0,pooled,,72,-0.1852,0.1194,-0.1091,0.3617,layer_31
recovery_signed_ratio,overall_score,0,pooled,,72,-0.3411,0.0034,-0.211,0.0752,layer_31
recovery_signed_ratio,transfer_score,0,pooled,,72,-0.3759,0.0011,-0.2059,0.0827,layer_31
recovery_signed_ratio,transfer_score_str,0,pooled,,72,-0.4425,0.0001,-0.2665,0.0237,layer_31
recovery_signed_ratio,overall_score_str,0,pooled,,72,-0.3194,0.0062,-0.2058,0.0828,layer_31
recovery_signed_ratio,transfer_margin_str,0,pooled,,72,-0.2341,0.0478,-0.0985,0.4105,layer_31
recovery_signed_ratio,overall_margin_str,0,pooled,,72,-0.4884,0.0,-0.2521,0.0327,layer_31
recovery_signed_ratio,accuracy_gpt-5-mini,0,pooled,,72,-0.1806,0.1289,-0.1502,0.208,layer_31
recovery_signed_ratio,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,-0.1735,0.145,-0.132,0.2691,layer_31
recovery_signed_ratio,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,-0.145,0.2243,-0.083,0.4881,layer_31
recovery_log_ratio,accuracy_majority,0,pooled,,72,-0.1288,0.281,-0.0017,0.9884,layer_31
recovery_log_ratio,overall_score,0,pooled,,72,-0.2191,0.0645,-0.2059,0.0827,layer_31
recovery_log_ratio,transfer_score,0,pooled,,72,-0.2243,0.0582,-0.1807,0.1288,layer_31
recovery_log_ratio,transfer_score_str,0,pooled,,72,-0.3286,0.0048,-0.3202,0.0061,layer_31
recovery_log_ratio,overall_score_str,0,pooled,,72,-0.2227,0.06,-0.2334,0.0485,layer_31
recovery_log_ratio,transfer_margin_str,0,pooled,,72,-0.1605,0.1782,-0.2093,0.0777,layer_31
recovery_log_ratio,overall_margin_str,0,pooled,,72,-0.3478,0.0028,-0.3849,0.0008,layer_31
recovery_log_ratio,accuracy_gpt-5-mini,0,pooled,,72,-0.1326,0.2669,-0.0041,0.9727,layer_31
recovery_log_ratio,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,-0.1351,0.2579,-0.0188,0.8757,layer_31
recovery_log_ratio,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,-0.1085,0.3642,0.0284,0.8127,layer_31
drop_minus_recovery_abs_diff,accuracy_majority,0,pooled,,72,0.1088,0.3629,0.0744,0.5343,layer_31
drop_minus_recovery_abs_diff,overall_score,0,pooled,,72,0.1105,0.3553,0.1047,0.3816,layer_31
drop_minus_recovery_abs_diff,transfer_score,0,pooled,,72,0.0913,0.4456,0.0441,0.7132,layer_31
drop_minus_recovery_abs_diff,transfer_score_str,0,pooled,,72,-0.0919,0.4425,-0.079,0.5098,layer_31
drop_minus_recovery_abs_diff,overall_score_str,0,pooled,,72,-0.1334,0.2641,-0.1449,0.2247,layer_31
drop_minus_recovery_abs_diff,transfer_margin_str,0,pooled,,72,-0.0878,0.4633,-0.1074,0.3694,layer_31
drop_minus_recovery_abs_diff,overall_margin_str,0,pooled,,72,-0.2249,0.0575,-0.2391,0.0431,layer_31
drop_minus_recovery_abs_diff,accuracy_gpt-5-mini,0,pooled,,72,0.0331,0.7827,0.0215,0.8577,layer_31
drop_minus_recovery_abs_diff,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,0.1252,0.2946,0.101,0.3986,layer_31
drop_minus_recovery_abs_diff,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,0.0943,0.431,0.0938,0.433,layer_31
drop_minus_recovery_signed_diff,accuracy_majority,0,pooled,,72,0.002,0.9866,0.0148,0.9017,layer_31
drop_minus_recovery_signed_diff,overall_score,0,pooled,,72,0.2703,0.0217,0.3203,0.0061,layer_31
drop_minus_recovery_signed_diff,transfer_score,0,pooled,,72,0.1866,0.1166,0.1942,0.1021,layer_31
drop_minus_recovery_signed_diff,transfer_score_str,0,pooled,,72,0.2334,0.0485,0.2257,0.0566,layer_31
drop_minus_recovery_signed_diff,overall_score_str,0,pooled,,72,0.2965,0.0114,0.247,0.0364,layer_31
drop_minus_recovery_signed_diff,transfer_margin_str,0,pooled,,72,0.1829,0.1242,0.1416,0.2354,layer_31
drop_minus_recovery_signed_diff,overall_margin_str,0,pooled,,72,0.3991,0.0005,0.3909,0.0007,layer_31
drop_minus_recovery_signed_diff,accuracy_gpt-5-mini,0,pooled,,72,0.0238,0.8429,0.043,0.7201,layer_31
drop_minus_recovery_signed_diff,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,0.016,0.8942,0.0594,0.6201,layer_31
drop_minus_recovery_signed_diff,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,-0.0305,0.7992,-0.0014,0.9908,layer_31
drop_minus_recovery_min,accuracy_majority,0,pooled,,72,0.11,0.3577,0.1286,0.2817,layer_31
drop_minus_recovery_min,overall_score,0,pooled,,72,0.3391,0.0036,0.393,0.0006,layer_31
drop_minus_recovery_min,transfer_score,0,pooled,,72,0.3399,0.0035,0.3605,0.0019,layer_31
drop_minus_recovery_min,transfer_score_str,0,pooled,,72,0.4095,0.0004,0.4578,0.0001,layer_31
drop_minus_recovery_min,overall_score_str,0,pooled,,72,0.4491,0.0001,0.4451,0.0001,layer_31
drop_minus_recovery_min,transfer_margin_str,0,pooled,,72,0.2366,0.0454,0.2215,0.0615,layer_31
drop_minus_recovery_min,overall_margin_str,0,pooled,,72,0.6056,0.0,0.6089,0.0,layer_31
drop_minus_recovery_min,accuracy_gpt-5-mini,0,pooled,,72,0.1197,0.3164,0.1447,0.2251,layer_31
drop_minus_recovery_min,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,0.037,0.7578,0.0869,0.4679,layer_31
drop_minus_recovery_min,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,0.085,0.4777,0.0962,0.4216,layer_31
drop_minus_recovery_max,accuracy_majority,0,pooled,,72,0.2056,0.0832,0.1859,0.1179,layer_31
drop_minus_recovery_max,overall_score,0,pooled,,72,0.4009,0.0005,0.449,0.0001,layer_31
drop_minus_recovery_max,transfer_score,0,pooled,,72,0.3912,0.0007,0.3615,0.0018,layer_31
drop_minus_recovery_max,transfer_score_str,0,pooled,,72,0.3052,0.0091,0.328,0.0049,layer_31
drop_minus_recovery_max,overall_score_str,0,pooled,,72,0.2623,0.026,0.2528,0.0322,layer_31
drop_minus_recovery_max,transfer_margin_str,0,pooled,,72,0.148,0.2146,0.0915,0.4446,layer_31
drop_minus_recovery_max,overall_margin_str,0,pooled,,72,0.3161,0.0068,0.3061,0.0089,layer_31
drop_minus_recovery_max,accuracy_gpt-5-mini,0,pooled,,72,0.1632,0.1708,0.1488,0.2122,layer_31
drop_minus_recovery_max,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,0.1784,0.1338,0.1749,0.1417,layer_31
drop_minus_recovery_max,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,0.1742,0.1433,0.1761,0.1389,layer_31
drop_minus_recovery_norm_asym,accuracy_majority,0,pooled,,72,-0.0723,0.5459,-0.1333,0.2642,layer_31
drop_minus_recovery_norm_asym,overall_score,0,pooled,,72,0.1991,0.0936,0.1103,0.3563,layer_31
drop_minus_recovery_norm_asym,transfer_score,0,pooled,,72,0.1244,0.2979,0.0153,0.8985,layer_31
drop_minus_recovery_norm_asym,transfer_score_str,0,pooled,,72,0.1029,0.3897,0.0373,0.756,layer_31
drop_minus_recovery_norm_asym,overall_score_str,0,pooled,,72,0.2337,0.0482,0.116,0.3319,layer_31
drop_minus_recovery_norm_asym,transfer_margin_str,0,pooled,,72,0.1988,0.0941,0.1963,0.0985,layer_31
drop_minus_recovery_norm_asym,overall_margin_str,0,pooled,,72,0.3918,0.0007,0.3185,0.0064,layer_31
drop_minus_recovery_norm_asym,accuracy_gpt-5-mini,0,pooled,,72,-0.0425,0.7231,-0.0975,0.4153,layer_31
drop_minus_recovery_norm_asym,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,-0.0748,0.5326,-0.1704,0.1524,layer_31
drop_minus_recovery_norm_asym,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,-0.115,0.336,-0.177,0.1369,layer_31
drop_minus_recovery_abs_ratio,accuracy_majority,0,pooled,,72,0.0071,0.9529,-0.0014,0.9909,layer_31
drop_minus_recovery_abs_ratio,overall_score,0,pooled,,72,0.2086,0.0787,0.2079,0.0797,layer_31
drop_minus_recovery_abs_ratio,transfer_score,0,pooled,,72,0.1643,0.1679,0.1563,0.1897,layer_31
drop_minus_recovery_abs_ratio,transfer_score_str,0,pooled,,72,0.2347,0.0472,0.3265,0.0051,layer_31
drop_minus_recovery_abs_ratio,overall_score_str,0,pooled,,72,0.1348,0.2588,0.2518,0.0329,layer_31
drop_minus_recovery_abs_ratio,transfer_margin_str,0,pooled,,72,0.3315,0.0044,0.3105,0.0079,layer_31
drop_minus_recovery_abs_ratio,overall_margin_str,0,pooled,,72,0.1635,0.1699,0.4011,0.0005,layer_31
drop_minus_recovery_abs_ratio,accuracy_gpt-5-mini,0,pooled,,72,-0.0208,0.8625,-0.0047,0.9687,layer_31
drop_minus_recovery_abs_ratio,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,-0.057,0.6342,-0.077,0.5205,layer_31
drop_minus_recovery_abs_ratio,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,-0.0203,0.8654,-0.0235,0.8447,layer_31
drop_minus_recovery_signed_ratio,accuracy_majority,0,pooled,,72,0.2234,0.0593,0.2333,0.0486,layer_31
drop_minus_recovery_signed_ratio,overall_score,0,pooled,,72,0.4282,0.0002,0.2494,0.0346,layer_31
drop_minus_recovery_signed_ratio,transfer_score,0,pooled,,72,0.3971,0.0006,0.2508,0.0336,layer_31
drop_minus_recovery_signed_ratio,transfer_score_str,0,pooled,,72,0.4571,0.0001,0.3135,0.0073,layer_31
drop_minus_recovery_signed_ratio,overall_score_str,0,pooled,,72,0.4375,0.0001,0.2402,0.0421,layer_31
drop_minus_recovery_signed_ratio,transfer_margin_str,0,pooled,,72,0.2382,0.0439,0.0563,0.6388,layer_31
drop_minus_recovery_signed_ratio,overall_margin_str,0,pooled,,72,0.5816,0.0,0.2216,0.0613,layer_31
drop_minus_recovery_signed_ratio,accuracy_gpt-5-mini,0,pooled,,72,0.245,0.038,0.2203,0.063,layer_31
drop_minus_recovery_signed_ratio,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,0.1641,0.1684,0.1446,0.2255,layer_31
drop_minus_recovery_signed_ratio,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,0.1771,0.1367,0.2183,0.0654,layer_31
drop_minus_recovery_log_ratio,accuracy_majority,0,pooled,,72,-0.0298,0.8039,-0.028,0.8152,layer_31
drop_minus_recovery_log_ratio,overall_score,0,pooled,,72,0.239,0.0431,0.2463,0.037,layer_31
drop_minus_recovery_log_ratio,transfer_score,0,pooled,,72,0.1659,0.1636,0.1457,0.2221,layer_31
drop_minus_recovery_log_ratio,transfer_score_str,0,pooled,,72,0.1422,0.2334,0.124,0.2993,layer_31
drop_minus_recovery_log_ratio,overall_score_str,0,pooled,,72,0.2698,0.0219,0.2198,0.0636,layer_31
drop_minus_recovery_log_ratio,transfer_margin_str,0,pooled,,72,0.1859,0.1179,0.1574,0.1868,layer_31
drop_minus_recovery_log_ratio,overall_margin_str,0,pooled,,72,0.4203,0.0002,0.4201,0.0002,layer_31
drop_minus_recovery_log_ratio,accuracy_gpt-5-mini,0,pooled,,72,-0.0031,0.9791,-0.0048,0.9681,layer_31
drop_minus_recovery_log_ratio,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,-0.0052,0.9654,0.0134,0.9111,layer_31
drop_minus_recovery_log_ratio,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,-0.062,0.6047,-0.0462,0.6999,layer_31
drop_over_recovery_abs_diff,accuracy_majority,0,pooled,,72,0.0847,0.4791,0.0772,0.5195,layer_31
drop_over_recovery_abs_diff,overall_score,0,pooled,,72,0.1412,0.2369,0.1805,0.1293,layer_31
drop_over_recovery_abs_diff,transfer_score,0,pooled,,72,0.1301,0.2762,0.1111,0.3529,layer_31
drop_over_recovery_abs_diff,transfer_score_str,0,pooled,,72,0.0691,0.5641,0.0964,0.4203,layer_31
drop_over_recovery_abs_diff,overall_score_str,0,pooled,,72,0.0409,0.7333,0.067,0.5763,layer_31
drop_over_recovery_abs_diff,transfer_margin_str,0,pooled,,72,0.0641,0.5928,0.0494,0.6802,layer_31
drop_over_recovery_abs_diff,overall_margin_str,0,pooled,,72,0.0741,0.5361,0.0859,0.4732,layer_31
drop_over_recovery_abs_diff,accuracy_gpt-5-mini,0,pooled,,72,0.0114,0.924,0.0224,0.8521,layer_31
drop_over_recovery_abs_diff,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,0.0842,0.4819,0.067,0.5762,layer_31
drop_over_recovery_abs_diff,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,0.0474,0.6927,0.0694,0.5623,layer_31
drop_over_recovery_signed_diff,accuracy_majority,0,pooled,,72,0.0708,0.5545,0.0519,0.6652,layer_31
drop_over_recovery_signed_diff,overall_score,0,pooled,,72,0.3105,0.0079,0.3052,0.0091,layer_31
drop_over_recovery_signed_diff,transfer_score,0,pooled,,72,0.2554,0.0304,0.2214,0.0616,layer_31
drop_over_recovery_signed_diff,transfer_score_str,0,pooled,,72,0.3193,0.0063,0.341,0.0034,layer_31
drop_over_recovery_signed_diff,overall_score_str,0,pooled,,72,0.2973,0.0112,0.2492,0.0348,layer_31
drop_over_recovery_signed_diff,transfer_margin_str,0,pooled,,72,0.2006,0.0911,0.1674,0.1598,layer_31
drop_over_recovery_signed_diff,overall_margin_str,0,pooled,,72,0.4012,0.0005,0.3492,0.0026,layer_31
drop_over_recovery_signed_diff,accuracy_gpt-5-mini,0,pooled,,72,0.0851,0.4771,0.0687,0.5666,layer_31
drop_over_recovery_signed_diff,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,0.066,0.5816,0.0823,0.4919,layer_31
drop_over_recovery_signed_diff,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,0.0278,0.8166,0.03,0.8026,layer_31
drop_over_recovery_min,accuracy_majority,0,pooled,,72,0.1688,0.1564,0.1975,0.0963,layer_31
drop_over_recovery_min,overall_score,0,pooled,,72,0.3755,0.0012,0.377,0.0011,layer_31
drop_over_recovery_min,transfer_score,0,pooled,,72,0.3752,0.0012,0.4071,0.0004,layer_31
drop_over_recovery_min,transfer_score_str,0,pooled,,72,0.448,0.0001,0.3848,0.0008,layer_31
drop_over_recovery_min,overall_score_str,0,pooled,,72,0.4934,0.0,0.267,0.0234,layer_31
drop_over_recovery_min,transfer_margin_str,0,pooled,,72,0.2231,0.0596,0.1375,0.2495,layer_31
drop_over_recovery_min,overall_margin_str,0,pooled,,72,0.6335,0.0,0.3757,0.0011,layer_31
drop_over_recovery_min,accuracy_gpt-5-mini,0,pooled,,72,0.1823,0.1253,0.2045,0.0849,layer_31
drop_over_recovery_min,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,0.0977,0.4144,0.1826,0.1248,layer_31
drop_over_recovery_min,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,0.1388,0.245,0.1487,0.2125,layer_31
drop_over_recovery_max,accuracy_majority,0,pooled,,72,0.2298,0.0522,0.1938,0.1028,layer_31
drop_over_recovery_max,overall_score,0,pooled,,72,0.4215,0.0002,0.4017,0.0005,layer_31
drop_over_recovery_max,transfer_score,0,pooled,,72,0.4087,0.0004,0.3537,0.0023,layer_31
drop_over_recovery_max,transfer_score_str,0,pooled,,72,0.3287,0.0048,0.3261,0.0052,layer_31
drop_over_recovery_max,overall_score_str,0,pooled,,72,0.2872,0.0144,0.2263,0.0559,layer_31
drop_over_recovery_max,transfer_margin_str,0,pooled,,72,0.1369,0.2516,0.1308,0.2735,layer_31
drop_over_recovery_max,overall_margin_str,0,pooled,,72,0.3293,0.0047,0.3105,0.0079,layer_31
drop_over_recovery_max,accuracy_gpt-5-mini,0,pooled,,72,0.1881,0.1136,0.1457,0.222,layer_31
drop_over_recovery_max,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,0.202,0.0888,0.175,0.1415,layer_31
drop_over_recovery_max,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,0.1965,0.098,0.1568,0.1885,layer_31
drop_over_recovery_norm_asym,accuracy_majority,0,pooled,,72,-0.01,0.9337,-0.0057,0.962,layer_31
drop_over_recovery_norm_asym,overall_score,0,pooled,,72,0.2313,0.0506,0.2375,0.0446,layer_31
drop_over_recovery_norm_asym,transfer_score,0,pooled,,72,0.1772,0.1364,0.1819,0.1261,layer_31
drop_over_recovery_norm_asym,transfer_score_str,0,pooled,,72,0.2545,0.031,0.249,0.0349,layer_31
drop_over_recovery_norm_asym,overall_score_str,0,pooled,,72,0.2857,0.015,0.2249,0.0576,layer_31
drop_over_recovery_norm_asym,transfer_margin_str,0,pooled,,72,0.2349,0.047,0.1975,0.0963,layer_31
drop_over_recovery_norm_asym,overall_margin_str,0,pooled,,72,0.434,0.0001,0.3958,0.0006,layer_31
drop_over_recovery_norm_asym,accuracy_gpt-5-mini,0,pooled,,72,0.0095,0.9367,0.0005,0.9968,layer_31
drop_over_recovery_norm_asym,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,-0.0092,0.9386,-0.0017,0.9884,layer_31
drop_over_recovery_norm_asym,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,-0.045,0.7075,-0.0465,0.698,layer_31
drop_over_recovery_abs_ratio,accuracy_majority,0,pooled,,72,0.0043,0.9717,0.034,0.7765,layer_31
drop_over_recovery_abs_ratio,overall_score,0,pooled,,72,-0.0687,0.5665,-0.0715,0.5506,layer_31
drop_over_recovery_abs_ratio,transfer_score,0,pooled,,72,-0.0711,0.5527,-0.0623,0.603,layer_31
drop_over_recovery_abs_ratio,transfer_score_str,0,pooled,,72,-0.1728,0.1466,-0.1516,0.2037,layer_31
drop_over_recovery_abs_ratio,overall_score_str,0,pooled,,72,-0.2027,0.0877,-0.1814,0.1274,layer_31
drop_over_recovery_abs_ratio,transfer_margin_str,0,pooled,,72,-0.0479,0.6897,-0.0926,0.439,layer_31
drop_over_recovery_abs_ratio,overall_margin_str,0,pooled,,72,-0.212,0.0739,-0.2384,0.0437,layer_31
drop_over_recovery_abs_ratio,accuracy_gpt-5-mini,0,pooled,,72,-0.0761,0.5249,-0.0121,0.9194,layer_31
drop_over_recovery_abs_ratio,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,0.0265,0.8252,0.0861,0.4718,layer_31
drop_over_recovery_abs_ratio,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,-0.0256,0.8311,0.0266,0.8247,layer_31
drop_over_recovery_signed_ratio,accuracy_majority,0,pooled,,72,-0.01,0.9337,-0.0498,0.6778,layer_31
drop_over_recovery_signed_ratio,overall_score,0,pooled,,72,0.2313,0.0506,0.089,0.4574,layer_31
drop_over_recovery_signed_ratio,transfer_score,0,pooled,,72,0.1772,0.1364,0.0296,0.8051,layer_31
drop_over_recovery_signed_ratio,transfer_score_str,0,pooled,,72,0.2545,0.031,0.0638,0.5946,layer_31
drop_over_recovery_signed_ratio,overall_score_str,0,pooled,,72,0.2857,0.015,0.0397,0.7405,layer_31
drop_over_recovery_signed_ratio,transfer_margin_str,0,pooled,,72,0.2349,0.047,0.1332,0.2647,layer_31
drop_over_recovery_signed_ratio,overall_margin_str,0,pooled,,72,0.434,0.0001,0.1495,0.2101,layer_31
drop_over_recovery_signed_ratio,accuracy_gpt-5-mini,0,pooled,,72,0.0095,0.9367,-0.0584,0.6258,layer_31
drop_over_recovery_signed_ratio,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,-0.0092,0.9386,0.0374,0.7551,layer_31
drop_over_recovery_signed_ratio,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,-0.045,0.7075,-0.0545,0.6491,layer_31
drop_over_recovery_log_ratio,accuracy_majority,0,pooled,,72,-0.01,0.9337,-0.0053,0.9649,layer_31
drop_over_recovery_log_ratio,overall_score,0,pooled,,72,0.2313,0.0506,0.2082,0.0792,layer_31
drop_over_recovery_log_ratio,transfer_score,0,pooled,,72,0.1772,0.1364,0.178,0.1346,layer_31
drop_over_recovery_log_ratio,transfer_score_str,0,pooled,,72,0.2545,0.031,0.3136,0.0073,layer_31
drop_over_recovery_log_ratio,overall_score_str,0,pooled,,72,0.2857,0.015,0.2339,0.048,layer_31
drop_over_recovery_log_ratio,transfer_margin_str,0,pooled,,72,0.2349,0.047,0.213,0.0725,layer_31
drop_over_recovery_log_ratio,overall_margin_str,0,pooled,,72,0.434,0.0001,0.3922,0.0007,layer_31
drop_over_recovery_log_ratio,accuracy_gpt-5-mini,0,pooled,,72,0.0095,0.9367,-0.0017,0.9886,layer_31
drop_over_recovery_log_ratio,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,-0.0092,0.9386,0.0125,0.9169,layer_31
drop_over_recovery_log_ratio,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,-0.045,0.7075,-0.0358,0.7651,layer_31
alpha_abs_diff,accuracy_majority,0,per_ckpt,all,72,0.0442,0.7782,0.0204,0.8761,layer_31
alpha_abs_diff,overall_score,0,per_ckpt,all,72,-0.0501,0.7942,-0.0327,0.8801,layer_31
alpha_abs_diff,transfer_score,0,per_ckpt,all,72,-0.0378,0.8282,-0.0429,0.8232,layer_31
alpha_abs_diff,transfer_score_str,0,per_ckpt,all,72,-0.2198,0.3047,-0.2043,0.3646,layer_31
alpha_abs_diff,overall_score_str,0,per_ckpt,all,72,-0.1909,0.4016,-0.1878,0.4406,layer_31
alpha_abs_diff,transfer_margin_str,0,per_ckpt,all,72,-0.2921,0.0889,-0.2663,0.1778,layer_31
alpha_abs_diff,overall_margin_str,0,per_ckpt,all,72,-0.2755,0.2068,-0.352,0.1089,layer_31
alpha_abs_diff,accuracy_gpt-5-mini,0,per_ckpt,all,72,0.0298,0.8452,0.005,0.972,layer_31
